songId,like_count
36477075,1
36471000,705
36471537,1906
36472080,12
36471187,2
36471556,2679
36470482,634
36469959,0
36469895,13
36467589,1881
36467492,258
36468435,17
36467836,147
36467225,2
36466436,28406
36466355,985
36463683,0
36463682,0
36462085,79
36462019,89
36461264,1409
36461933,18
36461859,3
36459756,1
36456842,0
36456727,1058
36459974,1242
36452658,1
36450712,9511
36451078,0
36450874,14
36447343,1254
36447425,88
36447720,306
36447852,8
36447819,11
36446479,0
36446470,0
36445822,0
36430773,136906
36391311,2845
110586943,0
36444944,9
36443405,124
36440416,0
36437889,0
36437888,0
36441862,43959
36441603,357
36439831,258
36440750,19
36440185,1
36440015,7
36435150,1601
36436798,704
36431362,2
36430754,0
36428620,2116
36427881,679
36427959,3
36416114,125602
36404024,3548
36427630,4
36425666,247
36424962,0
36424775,0
36425121,107
36424004,2675
36425211,7
36423657,5316
36421738,3719
36418580,1623
36423076,11
36418410,1
36417473,0
36417471,6
36416898,17
36417433,663
36416837,52
36416617,9
36416579,27
36415907,0
36415879,0
36415877,0
36415287,0
36415242,1
36415092,23
36414423,58793
36411194,3
36410102,13
36411342,118437
36411254,132
36411608,1
36411514,0
36410584,3573
36410513,2
36410497,27
36411714,4
36410541,1273
36404499,33
110576900,0
36411008,7
36407182,2
36404373,0
36401908,3992
36399181,131
36400852,942
36402239,2
36402137,7
36395598,9237
36396762,15
36396758,18
36395716,0
36393731,76
36392613,529
36391236,159860
36391369,643
36391807,759
36391139,7
36390148,0
36389984,12
36389953,7
36389815,71
36381766,18729
36380929,1420
36382570,2317
36380641,1072
36383059,140
36380562,8
36378342,1825
36378764,799
36381148,195
36377443,66
36378796,5
36371916,773
36361955,653
36374932,26
36374707,5
36374674,4
36374583,0
36371869,7136
36371907,2320
36371955,178
36372135,75
36373757,25
36371690,24
36369014,9
36367601,870
36364249,158
36363454,293
36365505,0
36362193,1904
36359275,42215
36361362,765
36360195,20
36359258,941
36358272,163
36356993,202805
36352012,7508
36356791,1680
36354911,14
36354583,24
110601761,0
36354340,2691
36457406,1673
36350938,5
36342416,14
36344972,14637
36345782,80
36344967,5
36342693,14861
36338239,15046
36335741,1696
36337593,50434
36335879,10
36333545,5
36335472,644
36331243,1412
36331121,121347
36329911,366
36331266,5
36329359,0
36319854,2
36325678,1467
36327176,591
36321854,2560
110549977,0
36325861,39
36325666,11
36322783,4
36325125,8213
36322071,6002
36322012,45
36321804,40
36322849,22
36322145,8
36322016,67
36321952,2
36319261,2099
36300711,5730
36319376,246
36318875,2099
36318214,34
36317455,3
36316017,4
36315142,0
36314820,22
36314322,8698
36312416,30838
36313117,71036
36304595,7
36308370,541
36308450,556
36307486,290
36308504,469
36304578,302
36309892,68
36308441,11
36303120,18
36282365,5
36300605,982
36301092,16856
36301042,23
36301474,5
36300717,1
36300479,2
36266615,59005
36298511,318
36296840,16
36295131,4
36294810,24
36282387,1
36293086,184
36294111,594
36291570,11
36286615,0
36276981,1016
36282178,581
36276983,12
36276197,0
36273213,0
36270646,37
36269721,25413
36267190,1093
36266720,215
36266097,521
36267247,4
36267183,12
36265723,19
36263450,10
36264779,682
36263564,18923
36255730,236
36264676,4
36264176,23
36261977,6
36257415,739
36257024,597
36255741,510
36248432,1339
36248332,445
36250494,1
36246285,10143
36224174,1441
36244525,370
36242243,0
36234614,117
36234609,37
36234606,38
36242038,230
36243165,30
36211082,0
36239985,2
36238099,219
36238096,1
36233974,1
36200424,14
36235909,307
36236684,223
36236076,72
36232913,26
36224073,905
36218664,4
36215054,10101
36216743,205
36215610,37
36216230,4
36215678,5
36216462,49
36215549,189
36169790,1
36209878,426
36206259,116298
36215452,7
36211799,4
36210318,9
36208480,2
36205743,204
36200483,63
36200587,273
36192328,1
36192100,5
36189703,6
36186833,8
36181684,3
36185712,1
36184744,1
36184688,8
36184150,5
36182838,28463
36182949,228
36178298,78
36144750,0
36181019,1914
36128146,1
36180662,65
36128138,2
36139907,1903
36174148,33
36169924,2
36164494,5
36163635,113
36157268,383
36149149,5
36148273,9
36146295,1
36145380,1350
36149097,3156
36147536,173
36144703,1
36120922,0
36105548,106121
36142102,1419
36134935,379
36143698,2
36141856,13
36141829,39
36141595,737
36136234,6
36117366,1
36139862,8701
36137552,27208
36136215,4
36134387,1
36133668,1
36133667,0
36131298,40
36134567,2
36131428,8
36129300,14
36127231,122
36120309,2
36120028,5279
36120032,1285
36120235,6
36120341,308
36116451,168
36116358,36
36116825,33
36113353,1
36110996,178993
36109039,195
36108974,1891
36103066,1
36101113,64
36097233,2
36094522,2
36094069,20
36096618,3
36096526,12
36090801,15614
36089503,12
36079879,62531
36081389,1508
36081833,127
36080769,17
36081827,76
36078777,110631
36078859,1119
36079348,7
36077598,23
36077106,0
36069092,8
36068838,10778
36065182,5726
36065105,3
36061450,2
36080255,824
36060999,34
36056601,8
36056408,14
36051433,2
36050118,9
36048410,39
36050355,1926
36048667,70
36049488,0
36049386,7
36049263,0
36043842,1527
36046187,68
36045449,0
36044546,1
35993850,15505
36040705,86
36039592,476
36041240,6
36034936,99384
36033050,123
36034339,102
36035867,721
36035513,8
36034242,2
36032148,1
36031044,3
36028856,34
36023714,1820
36026663,32
36023179,14
36018794,5
36020089,52
36014317,39203
36013657,4899
36013016,901
36012560,89
36014115,3
36013626,3
36013156,1
36010212,25
36001350,3172
36009095,2
36001552,2
35992766,23757
36001290,97471
35977577,888
35992575,5747
35988080,66
35992421,2
35986068,115
35986067,1
35982860,4
35985167,195253
35984500,334
35980350,74
35962512,5747
35976650,1670
