category,NODE_ID,location,lng,lat,img
bus,100000129,이화동(이화장),127.00327081719999,37.575937291399995,bus119
bus,100000130,혜화동로터리,127.0006878052,37.585580330700004,bus120
bus,100000131,명륜동2가.성균관대입구,126.99939876229999,37.5833334862,bus121
bus,100000132,혜화역.서울연극센터(장면총리가옥),127.0013281701,37.584022814,bus122
bus,100000133,혜화역.동성중고(장면총리가옥),127.00171768870001,37.5845697705,bus123
bus,100000135,종로구민회관.창신동두산아파트,127.0155555279,37.5740926792,bus124
bus,100000139,동묘앞역6번출구,127.0156014431,37.571684956599995,bus125
bus,100000140,동묘앞역5번출구,127.0159450485,37.5719221488,bus126
bus,101000307,청계2가교차로,126.98787787049999,37.5684809008,bus127
bus,100000142,창신3동주민센터,127.015178,37.578413,bus128
bus,100000143,숭인1동주민센터.창신역4번출구,127.0154557816,37.5786281555,bus129
bus,100000144,동묘역.롯데캐슬천지인,127.0158023517,37.5741800523,bus130
bus,100000147,신설동로터리,127.02284142959999,37.5756947252,bus131
bus,100000364,동묘앞역2번출구,127.0175234975,37.5736431148,bus132
bus,100000150,구기동현대빌라,126.956622,37.609682,bus133
bus,100000151,광장시장,126.99774379459998,37.5694963125,bus134
bus,100000153,혜화경찰서,126.9974787875,37.5725807445,bus135
bus,100000154,서울역사박물관.김구집무실(경교장),126.97213180770001,37.5699003386,bus136
bus,100000155,청계3가.관수교,126.9937793705,37.5686887917,bus137
bus,100000156,청계6가.버들다리,127.0080377075,37.569930386799996,bus138
bus,100000157,청계7가.맑은내다리,127.0130967122,37.5700419608,bus139
bus,100000158,청계8가.영도교,127.0181256262,37.5708949889,bus140
bus,100000159,원남동사거리,126.9981123217,37.5757617378,bus141
bus,100000165,숭인동,127.0204373408,37.5742721533,bus142
bus,100000169,조계사,126.9831609226,37.572800338,bus143
bus,100000174,세종문화회관,126.9770032167,37.5732180408,bus144
bus,100000179,이화동(이화장),127.002955,37.576257,bus145
bus,100000180,상명대정문,126.95502071780001,37.6016197182,bus146
bus,100000181,이북오도청,126.95597296860001,37.6127234824,bus147
bus,100000188,상명대입구.세검정교회,126.9597921957,37.5994435122,bus148
bus,100000189,상명대입구.석파랑,126.95819414040001,37.5995718125,bus149
bus,100000190,종로중부새마을금고,127.0065911394,37.5724174899,bus150
bus,100000191,신설동로터리.신한은행앞.서울풍물시장,127.0231950517,37.5742548131,bus151
bus,100000192,청계2가.삼일교,126.9869890809,37.5683454305,bus152
bus,100000193,청계8가.황학교,127.0227870051,37.5721307298,bus153
bus,100000355,평창동삼성아파트,126.9787981475,37.611180089499996,bus154
bus,100000370,안국역.인사동,126.98553654860001,37.5763329308,bus155
bus,100000369,안국역.서울공예박물관,126.98488712139999,37.5764140065,bus156
bus,100000371,창덕궁,126.9890031166,37.5772280879,bus157
bus,100000413,남인사마당,126.9874286375,37.5713191723,bus158
bus,100900047,평창파출소,126.96681670209999,37.605681218,bus159
bus,100900178,삼청공원,126.98164689459999,37.5882276807,bus160
bus,100900041,수성동계곡,126.96446789209999,37.5820813834,bus161
bus,100900040,명륜3가종점,126.99286367959999,37.5909483783,bus162
bus,100900197,명륜새마을금고,126.99679014770001,37.5877854691,bus163
bus,100900044,서대문3번출구,126.9663939394,37.5663370645,bus164
bus,100900039,낙산공원,127.0087215681,37.5804037213,bus165
bus,100900037,인사미술공간.세탁소,126.9893670844,37.5814109836,bus166
bus,100900036,화정박물관,126.96488374540002,37.6048011982,bus167
bus,100900035,금융연수원,126.98165826809999,37.586639826799995,bus168
bus,100900034,박노수미술관,126.966603478,37.5809967425,bus169
bus,100900032,샘미용실,126.9932227051,37.5903095275,bus170
bus,100900031,서울국제고등학교,126.9972902593,37.589071594699995,bus171
bus,100900029,화정박물관,126.96520078969999,37.6049806084,bus172
bus,100900188,적십자병원후문앞,126.96522727690001,37.5675295356,bus173
bus,100900202,서울성곽.성대후문,126.989569366,37.5893663808,bus174
bus,100900026,빨래터.고희동미술관,126.9890634276,37.582987218,bus175
bus,100900025,세검초등학교,126.9614907597,37.604252279200004,bus176
bus,100900024,삼청동주민센터,126.98190716190001,37.5842638281,bus177
bus,100900020,통인시장,126.9687565329,37.5804698178,bus178
bus,100900021,양현관,126.99360436149999,37.5897914226,bus179
bus,100900017,국민생활관,126.9988619666,37.5897456349,bus180
bus,100900016,오거리,126.9622629001,37.6070621164,bus181
bus,100900015,경희궁자이2.3단지,126.9640686009,37.5687871134,bus182
bus,100900013,창신쌍용2단지.한성대후문,127.0127581151,37.5812647965,bus183
bus,100900045,통일부,126.9859476734,37.5875948053,bus184
bus,100900011,원서고개,126.9878088426,37.583080553,bus185
bus,100900009,종로5가입구.혜화경찰서,126.9976709493,37.5717928476,bus186
bus,100900007,삼청파출소,126.9812510491,37.581813661999995,bus187
bus,100900005,오거리.한옥마을입구,126.9696088803,37.579404615,bus188
