category,location,lat,lng,img
emergency_bell,방범-길동-017,37.53862,127.13661,
emergency_bell,방범-길동-027,37.539559999999994,127.14157,
emergency_bell,방범-길동-036,37.53979,127.14008000000001,
emergency_bell,방범-성내2동-001,37.53372,127.12258,
emergency_bell,방범-성내2동-018,37.53286,127.12261000000001,
emergency_bell,방범-성내2동-002,37.535140000000006,127.12303,
emergency_bell,방범-성내2동-031,37.534240000000004,127.12297,
emergency_bell,방범-성내2동-049,37.5336,127.12329,
emergency_bell,방범-성내2동-030,37.534009999999995,127.1235,
emergency_bell,방범-성내2동-003,37.53313,127.12503000000001,
emergency_bell,방범-성내2동-045,37.53451,127.12491999999999,
emergency_bell,방범-성내2동-042,37.534079999999996,127.12477,
emergency_bell,방범-성내2동-033,37.53478,127.12548999999999,
emergency_bell,방범-성내2동-048,37.53476,127.12706999999999,
emergency_bell,방범-성내2동-037,37.53425,127.12805,
emergency_bell,방범-성내2동-005,37.53485,127.12892,
emergency_bell,방범-성내2동-034,37.53543,127.13021,
emergency_bell,방범-성내2동-054,37.53524,127.13118,
emergency_bell,방범-성내2동-052,37.534420000000004,127.13147,
emergency_bell,방범-성내2동-038,37.53439,127.13068999999999,
emergency_bell,방범-성내2동-017,37.53512,127.13216000000001,
emergency_bell,방범-성내2동-006,37.533840000000005,127.13192,
emergency_bell,방범-성내2동-055,37.53333,127.13188000000001,
emergency_bell,방범-성내2동-056,37.53107,127.12993999999999,
emergency_bell,방범-성내2동-057,37.53269,127.13148999999999,
emergency_bell,방범-성내2동-058,37.532920000000004,127.12668000000001,
emergency_bell,방범-성내2동-059,37.5316,127.13067,
emergency_bell,방범-성내2동-061,37.5308,127.1317,
emergency_bell,방범-성내2동-062,37.530809999999995,127.13083999999999,
emergency_bell,방범-성내2동-063,37.53382,127.12489,
emergency_bell,방범-성내2동-064,37.53317,127.12578,
emergency_bell,방범-성내2동-007,37.53471,127.12992,
emergency_bell,방범-성내2동-040,37.5344,127.12926999999999,
emergency_bell,방범-성내2동-008,37.53242,127.13002,
emergency_bell,방범-둔촌2동-002,37.53168,127.13925,
emergency_bell,방범-성내3동-041,37.52785,127.13271,
emergency_bell,방범-성내3동-042,37.53105,127.13316,
emergency_bell,방범-성내3동-043,37.52896,127.13363999999999,
emergency_bell,방범-성내3동-044,37.53414,127.13541000000001,
emergency_bell,방범-성내3동-009,37.52713,127.13292,
emergency_bell,방범-암사1동-044,37.5487,127.13371000000001,
emergency_bell,방범-암사1동-010,37.54789,127.13326,
emergency_bell,방범-암사1동-019,37.54909,127.13391000000001,
emergency_bell,방범-암사1동-011,37.549009999999996,127.13198,
emergency_bell,방범-암사1동-060,37.5491,127.13298999999999,
emergency_bell,스쿨존-암사1동-007,37.54792,127.13292,
emergency_bell,방범-암사1동-014,37.55016,127.13136999999999,
emergency_bell,방범-암사1동-025,37.5503,127.1324,
emergency_bell,방범-암사1동-064,37.55128,127.13128,
emergency_bell,방범-암사1동-012,37.550470000000004,127.13088,
emergency_bell,방범-암사1동-065,37.55001,127.12996000000001,
emergency_bell,방범-암사1동-013,37.54936,127.13053000000001,
emergency_bell,방범-암사1동-054,37.549609999999994,127.13086000000001,
emergency_bell,방범-암사1동-072,37.54942,127.13105,
emergency_bell,방범-암사1동-020,37.5499,127.1295,
emergency_bell,방범-암사1동-022,37.55133,127.13023999999999,
emergency_bell,방범-암사1동-029,37.55211,127.12988,
emergency_bell,방범-암사1동-068,37.55134,127.12871000000001,
emergency_bell,방범-암사1동-017,37.550340000000006,127.12841,
